Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
Cc72_00013170-RA,272.0,266.0,161.0,94.0,152.0,310.0
Cc72_00013171-RA,282.859,99.0173,184.384,193.711,214.696,120.329
Cc72_00013169-RA,1115.66,996.973,870.661,548.555,886.092,889.155
Cc72_00013174-RA,202.0,246.0,167.0,211.0,174.0,327.0
Cc72_00013172-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013176-RA,1.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013175-RA,367.0,260.0,302.0,283.0,398.0,403.0
Cc72_00013168-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013178-RA,153.0,125.0,129.0,66.0,49.0,85.0
Cc72_00013179-RA,306.0,246.0,164.0,71.0,125.0,132.0
Cc72_00013180-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013185-RA,0.0,0.0,0.0,3.0,4.0,2.0
Cc72_00013184-RA,105.542,78.3106,92.7122,104.769,146.083,123.891
Cc72_00013182-RA,698.559,503.727,568.685,699.319,530.957,734.227
Cc72_00013181-RA,798.899,631.962,634.603,734.912,1129.96,593.883
Cc72_00013183-RA,0.0,0.0,2.0,5.0,2.0,7.0
Cc72_00013191-RA,583.0,372.0,507.0,718.0,672.0,653.0
Cc72_00013188-RA,49.003,42.1504,43.9026,14.0353,12.1638,22.3462
Cc72_00013192-RA,977.0,628.0,783.0,1519.0,1330.0,1132.0
Cc72_00013193-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013190-RA,2430.0,1813.0,2014.0,1551.0,1958.0,2022.0
Cc72_00013189-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013187-RA,28.0,37.0,19.0,9.0,36.0,25.0
Cc72_00013186-RA,6.0,2.0,1.0,0.0,0.0,0.0
Cc72_00013195-RA,250.0,214.0,230.0,413.0,400.0,381.0
Cc72_00013196-RA,1067.0,943.0,1012.0,907.0,825.0,874.0
Cc72_00013194-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013200-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013202-RA,1695.0,1264.0,1344.0,926.0,1265.0,1301.0
Cc72_00013201-RA,1392.0,1207.0,1242.0,1519.0,1763.0,1579.0
Cc72_00013203-RA,420.0,330.0,365.0,724.0,815.0,671.0
Cc72_00013197-RA,4.0,7.0,1.0,0.0,0.0,0.0
Cc72_00013206-RA,127.0,146.0,159.0,44.0,56.0,71.0
Cc72_00013198-RA,0.0,0.0,0.0,0.0,1.0,0.0
Cc72_00013199-RA,447.0,191.0,146.0,303.0,299.0,178.0
Cc72_00013204-RA,3650.54,3842.43,3289.22,2482.24,3174.43,2543.71
Cc72_00013205-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013211-RA,82.2222,114.0,103.288,45.0273,45.2117,79.8075
Cc72_00013210-RA,7.00164,8.0,12.0016,13.0016,5.00096,9.00054
Cc72_00013207-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013213-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013212-RA,49.3288,73.7809,39.1825,2.27442,21.5924,9.24832
Cc72_00013209-RA,1101.0,834.0,827.0,1005.0,993.0,1090.0
Cc72_00013208-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013219-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013215-RA,241.0,213.0,261.0,191.0,235.0,272.0
Cc72_00013216-RA,458.0,439.0,473.0,445.0,506.0,574.0
Cc72_00013218-RA,0.0,0.0,0.0,0.0,11.0,0.0
Cc72_00013214-RA,3093.46,3318.57,2896.78,3227.76,4288.57,3028.29
Cc72_00013217-RA,656.0,929.0,501.0,623.0,1657.0,1013.0
Cc72_00013223-RA,112.763,145.806,111.783,216.107,414.151,178.106
Cc72_00013226-RA,1426.0,1567.0,1030.0,234.0,390.0,266.0
Cc72_00013225-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013224-RA,1539.67,2019.22,1407.82,21.7256,84.4076,62.7517
Cc72_00013221-RA,75.0,51.0,48.0,50.0,53.0,71.0
Cc72_00013222-RA,833.407,694.835,690.708,502.509,557.0,719.0
Cc72_00013220-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013235-RA,0.0,0.0,0.0,0.0,0.0,1.0
Cc72_00013234-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013230-RA,28.0,39.0,19.0,2.0,6.0,6.0
Cc72_00013231-RA,100.0,79.0,75.0,22.0,30.0,46.0
Cc72_00013232-RA,28.0,53.0,11.0,2.0,7.0,16.0
Cc72_00013236-RA,151.0,135.0,101.0,0.0,0.0,3.0
Cc72_00013227-RA,6.0,4.0,0.0,0.0,0.0,0.0
Cc72_00013228-RA,0.0,4.0,1.0,0.0,0.0,0.0
Cc72_00013229-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013233-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013239-RA,0.0,0.0,0.0,0.0,1.0,0.0
Cc72_00013240-RA,0.0,0.0,0.0,0.0,1.0,0.0
Cc72_00013243-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013241-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013242-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013245-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013244-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013238-RA,168.0,101.0,110.0,120.0,99.0,132.0
Cc72_00013237-RA,1097.0,1123.0,989.0,298.0,411.0,558.0
Cc72_00013248-RA,10535.0,9274.0,8147.0,9938.0,3383.0,9443.0
Cc72_00013246-RA,31.0,30.0,24.0,5.0,16.0,15.0
Cc72_00013251-RA,948.0,810.0,878.0,854.0,790.0,905.0
Cc72_00013249-RA,2513.0,2104.0,2248.0,1538.0,1629.0,1883.0
Cc72_00013247-RA,83.0,46.0,32.0,154.0,155.0,106.0
Cc72_00013252-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013250-RA,166.0,124.0,128.0,95.0,127.0,143.0
Cc72_00013253-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013255-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013254-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013257-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013260-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013259-RA,35.0,21.0,20.0,5.0,18.0,11.0
Cc72_00013258-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013256-RA,4.0,13.0,1.0,9.0,2.0,3.0
Cc72_00013263-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013265-RA,2669.0,2102.0,1960.0,1512.0,1532.0,1975.0
Cc72_00013262-RA,1.0,3.0,0.0,0.0,0.0,2.0
Cc72_00013268-RA,1.0,6.0,1.0,0.0,0.0,1.0
Cc72_00013266-RA,148.0,149.0,87.0,4.0,3.0,3.0
Cc72_00013264-RA,23.0,12.0,12.0,10.0,8.0,18.0
Cc72_00013261-RA,131.0,80.0,96.0,77.0,107.0,122.0
Cc72_00013269-RA,133.0,147.0,80.0,26.0,53.0,60.0
Cc72_00013272-RA,1318.0,1335.0,1084.0,515.0,574.0,498.0
Cc72_00013274-RA,2634.1,2293.12,2117.67,1851.07,1991.22,1888.71
Cc72_00013270-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013267-RA,1622.0,1487.0,1349.0,1203.0,1207.0,1567.0
Cc72_00013271-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013275-RA,2766.0,2483.0,2164.0,1663.0,2915.0,1918.0
Cc72_00013273-RA,1937.0,1540.0,1458.0,1000.0,1754.0,1556.0
Cc72_00013279-RA,94.0,81.0,52.0,13.0,33.0,38.0
Cc72_00013277-RA,762.0,510.0,564.0,646.0,591.0,558.0
Cc72_00013283-RA,2.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013280-RA,334.0,328.0,277.0,201.0,258.0,264.0
Cc72_00013278-RA,191.0,187.0,174.0,178.0,150.0,190.0
Cc72_00013282-RA,1.0,0.0,1.0,0.0,0.0,4.0
Cc72_00013276-RA,3073.0,2378.0,2503.0,1984.0,2877.0,3121.0
Cc72_00013281-RA,0.0,0.0,0.0,1.0,1.0,2.0
Cc72_00013285-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013287-RA,580.0,495.0,462.0,990.0,989.0,725.0
Cc72_00013286-RA,1.0,1.0,1.0,0.0,0.0,0.0
Cc72_00013284-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013288-RA,3171.0,2840.0,2040.0,11178.0,10301.0,9515.0
Cc72_00013296-RA,0.0,0.0,0.0,1.0,0.0,0.0
Cc72_00013291-RA,0.0,2.0,0.0,0.0,0.0,0.0
Cc72_00013290-RA,727.0,855.0,625.0,180.0,250.0,312.0
Cc72_00013289-RA,16.0,37.0,7.0,27.0,24.0,22.0
Cc72_00013292-RA,840.0,919.0,821.0,838.0,702.0,882.0
Cc72_00013294-RA,1053.0,966.0,969.0,713.0,771.0,741.0
Cc72_00013295-RA,5845.0,4831.0,4698.0,3693.0,4305.72,4456.0
Cc72_00013293-RA,3.0,1.0,0.0,3.0,3.0,7.0
Cc72_00013301-RA,0.0,2.0,1.0,0.0,2.0,0.0
Cc72_00013302-RA,41.0,45.0,12.0,5.0,7.0,19.0
Cc72_00013307-RA,2600.0,3253.0,2345.0,1399.0,1192.0,300.0
Cc72_00013298-RA,0.0,1.0,0.0,0.0,0.0,0.0
Cc72_00013306-RA,318.0,261.0,262.0,198.0,272.0,265.0
Cc72_00013303-RA,951.0,662.0,745.0,455.0,495.0,689.0
Cc72_00013308-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013299-RA,2.0,7.0,6.0,3.0,6.0,13.0
Cc72_00013297-RA,5.0,3.0,2.0,1.0,0.0,0.0
Cc72_00013305-RA,762.0,656.0,588.0,501.0,557.0,643.0
Cc72_00013304-RA,6564.0,4707.0,4611.0,3270.0,3296.0,3109.0
Cc72_00013300-RA,355.0,261.0,284.0,161.0,182.0,259.0
Cc72_00013315-RA,8.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013314-RA,5108.0,4687.86,3869.0,2568.0,2694.0,2805.0
Cc72_00013309-RA,13.0,5.0,3.0,0.0,0.0,0.0
Cc72_00013310-RA,39.0,54.4522,40.0,15.0,30.0,21.0
Cc72_00013311-RA,5.0,6.0,4.0,2.0,3.0,6.0
Cc72_00013312-RA,3.0,0.0,3.0,0.0,0.0,0.0
Cc72_00013313-RA,50.0,43.0,26.0,46.0,64.0,127.0
Cc72_00013316-RA,375.0,0.0,0.0,1.0,0.0,1.0
Cc72_00013319-RA,333.0,252.0,214.0,274.0,333.0,388.0
Cc72_00013317-RA,170.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013320-RA,719.0,898.0,749.0,635.0,816.0,867.0
Cc72_00013318-RA,200.0,189.0,133.0,123.0,142.0,91.0
Cc72_00013322-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013325-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013324-RA,0.525359,0.0,0.0,0.0,2.0585,1.80677
Cc72_00013321-RA,17.0,20.0,13.0,24.0,18.0,21.0
Cc72_00013323-RA,2.0,0.0,6.40827,5.28211,12.2589,5.90274
Cc72_00013327-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013326-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013343-RA,510.0,353.0,395.0,269.0,427.0,476.0
Cc72_00013342-RA,60.0,52.0,38.0,17.0,50.0,44.0
Cc72_00013330-RA,0.0,1.0,0.0,0.0,0.0,5.09726
Cc72_00013331-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013344-RA,1.0,1.0,2.0,1.0,0.0,4.0
Cc72_00013346-RA,2590.0,3096.0,2162.0,1153.0,1017.0,1037.0
Cc72_00013338-RA,658.0,798.0,657.0,1752.0,1694.0,2858.0
Cc72_00013334-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013332-RA,0.0,0.0,0.0,0.0,0.0,1.0
Cc72_00013329-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013328-RA,0.333333,2.66667,3.0,0.0,0.0,0.0
Cc72_00013340-RA,49.0,77.0,31.0,102.0,166.0,22.3619
Cc72_00013333-RA,0.0,0.0,3.0,3.0,3.0,2.0
Cc72_00013345-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013341-RA,458.0,301.0,381.0,258.0,253.0,303.0
Cc72_00013347-RA,11628.0,9563.0,11051.0,7121.0,9579.0,8756.0
Cc72_00013337-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013339-RA,2227.0,672.0,640.0,1728.0,2225.0,751.0
Cc72_00013336-RA,0.0,6.0,0.0,0.0,8.0,10.0
Cc72_00013335-RA,6.0,5.0,13.0,13.0,17.0,14.0
Cc72_00013355-RA,646.0,642.0,640.0,557.0,635.0,593.0
Cc72_00013351-RA,535.154,504.102,476.051,457.969,442.085,548.081
Cc72_00013353-RA,127.716,118.557,147.949,152.031,111.46,126.792
Cc72_00013349-RA,1061.0,1247.0,748.0,358.0,1318.0,895.0
Cc72_00013350-RA,26.0,15.0,16.0,7.0,12.0,15.0
Cc72_00013348-RA,1.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013356-RA,595.0,485.0,380.0,270.0,405.0,313.0
Cc72_00013354-RA,61.0,55.0,43.0,30.0,29.0,37.0
Cc72_00013352-RA,234.861,356.651,252.595,359.962,407.246,413.367
Cc72_00013363-RA,9.0,0.0,0.0,8.0,0.0,1.0
Cc72_00013360-RA,160.0,150.0,156.0,167.0,192.0,183.0
Cc72_00013361-RA,25900.0,19221.0,21336.0,6368.0,6404.0,6754.0
Cc72_00013359-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013362-RA,33.0,36.0,3.0,2.0,3.0,2.0
Cc72_00013357-RA,529.0,506.0,421.0,304.0,311.0,446.0
Cc72_00013358-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013365-RA,0.0,1.0,0.0,0.0,0.0,1.0
Cc72_00013366-RA,49.0,46.0,63.0,32.0,48.0,58.0
Cc72_00013371-RA,482.0,550.0,336.0,166.0,210.0,239.0
Cc72_00013369-RA,1432.0,1149.0,1155.0,1638.0,2767.0,1453.0
Cc72_00013370-RA,51.0,62.0,29.0,63.0,73.0,71.0
Cc72_00013364-RA,880.0,811.0,637.0,561.0,404.0,727.0
Cc72_00013367-RA,8.0,2.0,11.0,3.0,7.0,6.0
Cc72_00013368-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013373-RA,2135.0,1807.0,1860.0,356.0,474.0,738.0
Cc72_00013374-RA,399.0,349.0,364.0,137.0,196.0,153.0
Cc72_00013372-RA,256.0,182.0,173.0,8.0,6.0,17.0
Cc72_00013377-RA,4478.0,3605.0,3880.0,3179.0,3355.0,3429.0
Cc72_00013378-RA,3.0,23.0,5.0,0.0,5.0,4.0
Cc72_00013380-RA,239.0,307.0,203.0,84.0,129.0,100.0
Cc72_00013375-RA,2451.0,3477.0,1661.0,2178.0,11942.0,1827.0
Cc72_00013379-RA,181.0,135.0,136.0,159.0,148.0,202.0
Cc72_00013376-RA,417.0,376.0,323.0,163.0,117.0,174.0
Cc72_00013383-RA,10255.3,9839.94,7908.64,12077.8,12767.7,13489.5
Cc72_00013382-RA,4842.72,4770.06,4067.36,12245.2,11394.3,11703.5
Cc72_00013381-RA,1.0,1.0,0.0,0.0,0.0,0.0
Cc72_00013384-RA,1383.0,1379.0,1066.0,2158.0,2258.0,2997.0
Cc72_00013392-RA,727.0,388.0,528.0,1583.0,1237.0,1291.0
Cc72_00013388-RA,178.0,113.0,142.0,91.0,78.0,107.0
Cc72_00013391-RA,99.0,79.0,93.0,84.0,127.0,136.0
Cc72_00013385-RA,289.0,228.0,256.0,70.0,15.0,58.0
Cc72_00013386-RA,942.0,752.0,826.0,622.0,653.0,945.0
Cc72_00013387-RA,0.0,1.0,0.0,1.89919,0.0,0.0
Cc72_00013393-RA,6.0,14.0,14.0,34.0,11.0,24.0
Cc72_00013395-RA,6116.0,5774.0,5567.0,5029.0,5373.0,5442.0
Cc72_00013389-RA,113.696,133.0,138.0,141.0,173.0,214.0
Cc72_00013394-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013390-RA,8943.0,6807.0,7595.0,4610.0,5616.0,6151.0
Cc72_00013402-RA,139.0,157.0,123.0,58.0,76.0,272.0
Cc72_00013401-RA,80.0,51.0,65.0,41.0,53.0,66.0
Cc72_00013406-RA,0.0,0.0,0.0,2.0,0.0,1.0
Cc72_00013400-RA,263.0,258.0,234.0,82.0,176.0,134.0
Cc72_00013404-RA,1104.0,773.0,849.0,2593.0,2670.0,2093.0
Cc72_00013397-RA,1.0,0.0,2.0,0.0,0.0,0.0
Cc72_00013399-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013403-RA,0.0,0.0,0.0,0.0,0.0,2.0
Cc72_00013396-RA,3.0,1.0,1.0,0.0,0.0,0.0
Cc72_00013405-RA,0.0,0.0,0.0,1.0,0.0,0.0
Cc72_00013398-RA,817.0,576.0,640.0,481.0,521.0,630.0
Cc72_00013413-RA,7630.0,6525.0,7480.0,4452.0,7509.0,6543.0
Cc72_00013410-RA,668.0,556.0,508.0,333.0,490.0,425.0
Cc72_00013416-RA,185.0,250.0,242.0,84.0,38.0,348.0
Cc72_00013412-RA,4730.0,3886.0,3590.0,2725.0,3266.0,2825.0
Cc72_00013409-RA,606.0,512.0,608.0,376.0,557.0,505.0
Cc72_00013408-RA,0.0,0.0,0.0,0.0,0.0,1.0
Cc72_00013414-RA,448.0,501.0,351.0,98.0,126.0,117.0
Cc72_00013415-RA,5209.0,4320.1,4278.0,2634.08,2507.0,3068.0
Cc72_00013417-RA,0.0,0.0,0.0,0.0,1.0,0.0
Cc72_00013418-RA,534.0,475.0,486.0,454.0,377.0,484.0
Cc72_00013407-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013411-RA,8411.0,6407.0,6882.0,4728.0,6155.0,7313.0
Cc72_00013422-RA,8.0,19.0,7.0,4.0,3.0,6.0
Cc72_00013423-RA,527.0,415.0,504.0,827.0,1049.0,588.0
Cc72_00013421-RA,518.175,136.469,227.894,384.305,275.552,795.533
Cc72_00013419-RA,1809.76,1469.15,1731.56,1114.99,1759.79,1545.11
Cc72_00013420-RA,1705.83,1076.53,1213.11,1634.7,907.448,2256.47
Cc72_00013430-RA,155.0,138.0,98.0,96.0,157.0,194.0
Cc72_00013426-RA,0.0,0.0,0.0,2.0,2.0,3.0
Cc72_00013429-RA,420.0,380.0,339.0,289.0,457.0,387.0
Cc72_00013433-RA,0.0,4.0,4.0,4.0,7.0,15.0
Cc72_00013431-RA,1956.0,1600.0,1386.0,1267.0,774.0,1043.0
Cc72_00013428-RA,50.0,66.0,49.0,32.0,78.0,40.0
Cc72_00013432-RA,292.0,212.0,268.0,96.0,52.0,163.0
Cc72_00013424-RA,75.0,61.0,64.0,111.0,96.0,122.0
Cc72_00013425-RA,0.0,0.0,0.0,3.0,1.00781,2.0
Cc72_00013427-RA,1.0,1.0,4.0,0.0,0.0,0.0
Cc72_00013434-RA,518.0,801.0,378.0,308.0,359.0,553.0
Cc72_00013435-RA,8.0,2.0,3.0,0.0,0.0,0.0
Cc72_00013442-RA,6.0,3.0,10.0,1.0,1.0,3.0
Cc72_00013441-RA,801.0,665.0,714.0,508.0,563.0,608.0
Cc72_00013439-RA,155.0,100.0,124.0,145.0,120.0,195.0
Cc72_00013443-RA,0.0,0.0,0.0,0.0,0.0,0.0
