"index","log2FoldChange"
"Cc72_00013237-RA",-1.20599702192474
"Cc72_00013248-RA",-0.127159879524488
"Cc72_00013246-RA",-1.0985300550904
"Cc72_00013251-RA",0.112362410561522
"Cc72_00013249-RA",-0.287480782542476
"Cc72_00013247-RA",1.57974987018691
"Cc72_00013252-RA",NA
"Cc72_00013250-RA",-0.0416154103767105
"Cc72_00013253-RA",NA
"Cc72_00013255-RA",NA
"Cc72_00013254-RA",NA
"Cc72_00013257-RA",NA
"Cc72_00013260-RA",NA
"Cc72_00013259-RA",-0.994315777033903
"Cc72_00013258-RA",NA
"Cc72_00013256-RA",-0.14006493753564
"Cc72_00013263-RA",NA
"Cc72_00013265-RA",-0.26410776370188
"Cc72_00013262-RA",-0.945320450462788
"Cc72_00013268-RA",-2.74259020488876
"Cc72_00013266-RA",-5.08928072848417
"Cc72_00013264-RA",-0.229872428941093
"Cc72_00013261-RA",0.149736819691019
"Cc72_00013269-RA",-1.22642910372407
"Cc72_00013272-RA",-1.06504710314856
"Cc72_00013274-RA",-0.128204004618524
"Cc72_00013270-RA",NA
"Cc72_00013267-RA",-0.0107712858693268
"Cc72_00013271-RA",NA
"Cc72_00013275-RA",-0.0213712463121449
"Cc72_00013273-RA",-0.0393121483510823
"Cc72_00013279-RA",-1.28829590464539
"Cc72_00013277-RA",0.148953895430286
"Cc72_00013283-RA",-1.58771615672045
"Cc72_00013280-RA",-0.220864190690899
"Cc72_00013278-RA",0.0677355642185983
"Cc72_00013282-RA",1.0148703847619
"Cc72_00013276-RA",0.154469076039725
"Cc72_00013281-RA",2.98485605723458
"Cc72_00013285-RA",NA
"Cc72_00013287-RA",1.00138151749552
"Cc72_00013286-RA",-2.28596856130211
"Cc72_00013284-RA",NA
"Cc72_00013288-RA",2.13155350004325
"Cc72_00013296-RA",1.12099673894979
"Cc72_00013291-RA",-1.70646857542532
"Cc72_00013290-RA",-1.43167880384971
"Cc72_00013289-RA",0.466585235437797
"Cc72_00013292-RA",0.0666237385824299
"Cc72_00013294-RA",-0.262419667459396
"Cc72_00013295-RA",-0.142130970667546
"Cc72_00013293-RA",1.87391940173311
"Cc72_00013301-RA",-0.442596378630324
"Cc72_00013302-RA",-1.52592646154353
"Cc72_00013307-RA",-1.2790216064948
"Cc72_00013298-RA",-0.802556612692703
"Cc72_00013306-RA",-0.037313587510696
"Cc72_00013303-RA",-0.3748086780536
"Cc72_00013308-RA",NA
"Cc72_00013299-RA",0.629912200554404
"Cc72_00013297-RA",-3.0295713380877
"Cc72_00013305-RA",-0.0790918302293197
"Cc72_00013304-RA",-0.535489779732283
"Cc72_00013300-RA",-0.433209898957871
"Cc72_00013315-RA",-3.57505040123884
"Cc72_00013314-RA",-0.592586783870895
"Cc72_00013309-RA",-5.03888311027857
"Cc72_00013310-RA",-0.859730641978039
"Cc72_00013311-RA",-0.320832807480511
"Cc72_00013312-RA",-3.28376664686534
"Cc72_00013313-RA",1.12526817272794
"Cc72_00013316-RA",-7.26915065966782
"Cc72_00013319-RA",0.47793520857953
"Cc72_00013317-RA",-22.0662614476109
"Cc72_00013320-RA",0.115577693420809
"Cc72_00013318-RA",-0.362931001603887
"Cc72_00013322-RA",NA
"Cc72_00013325-RA",NA
"Cc72_00013324-RA",1.99719959086335
"Cc72_00013321-RA",0.504512414699001
"Cc72_00013323-RA",1.64547346618225
"Cc72_00013327-RA",NA
"Cc72_00013326-RA",NA
"Cc72_00013343-RA",0.0452120550829242
"Cc72_00013342-RA",-0.28630206172239
"Cc72_00013330-RA",2.22051921679835
"Cc72_00013331-RA",NA
"Cc72_00013344-RA",0.381565457648975
"Cc72_00013346-RA",-1.11881788551982
"Cc72_00013338-RA",1.70900797284799
"Cc72_00013334-RA",NA
"Cc72_00013332-RA",1.12099673894979
"Cc72_00013329-RA",NA
"Cc72_00013328-RA",-3.34392346116984
"Cc72_00013340-RA",1.1074567786769
"Cc72_00013333-RA",1.51711521819077
"Cc72_00013345-RA",NA
"Cc72_00013341-RA",-0.325302232542303
"Cc72_00013347-RA",-0.185533559380225
"Cc72_00013337-RA",NA
"Cc72_00013339-RA",0.665599732588044
"Cc72_00013336-RA",1.66182923510934
"Cc72_00013335-RA",1.01101910850936
"Cc72_00013355-RA",0.0480705568983712
"Cc72_00013351-RA",0.0905200156519634
"Cc72_00013353-RA",0.144497485270193
"Cc72_00013349-RA",-0.102294305380971
"Cc72_00013350-RA",-0.592892000393031
"Cc72_00013348-RA",-0.802556612692703
"Cc72_00013356-RA",-0.388883792689243
"Cc72_00013354-RA",-0.566419673702279
"Cc72_00013352-RA",0.633782026566036
"Cc72_00013363-RA",0.378586688077083
"Cc72_00013360-RA",0.376590439627886
"Cc72_00013361-RA",-1.60005391383752
"Cc72_00013359-RA",NA
"Cc72_00013362-RA",-3.15612327629458
"Cc72_00013357-RA",-0.307251172330734
"Cc72_00013358-RA",NA
"Cc72_00013365-RA",0.159224066736155
"Cc72_00013366-RA",-0.0660979912993295
"Cc72_00013371-RA",-0.997054471612576
"Cc72_00013369-RA",0.829045496973569
"Cc72_00013370-RA",0.714686932339628
"Cc72_00013364-RA",-0.304509014262724
"Cc72_00013367-RA",-0.263039157023469
"Cc72_00013368-RA",NA
"Cc72_00013373-RA",-1.7580353502672
"Cc72_00013374-RA",-1.03241728050705
"Cc72_00013372-RA",-4.15015392372087
"Cc72_00013377-RA",-0.0999663934507822
"Cc72_00013378-RA",-1.68161525859353
"Cc72_00013380-RA",-1.09806803436669
"Cc72_00013375-RA",1.26176187437183
"Cc72_00013379-RA",0.330244005983866
"Cc72_00013376-RA",-1.13335316774818
"Cc72_00013383-RA",0.618947756613632
"Cc72_00013382-RA",1.53963614610409
"Cc72_00013381-RA",-1.64799845654897
"Cc72_00013384-RA",1.10635303775449
"Cc72_00013392-RA",1.50974174911654
"Cc72_00013388-RA",-0.48881139996847
"Cc72_00013391-RA",0.501641163937505
"Cc72_00013385-RA",-2.26426558023455
"Cc72_00013386-RA",-0.0387060442872283
"Cc72_00013387-RA",1.18027601738315
"Cc72_00013393-RA",1.17399702280389
"Cc72_00013395-RA",0.0215566425237518
"Cc72_00013389-RA",0.591496596196666
"Cc72_00013394-RA",NA
"Cc72_00013390-RA",-0.356822593245017
"Cc72_00013402-RA",0.0344316525276692
"Cc72_00013401-RA",-0.143135743977008
"Cc72_00013406-RA",2.64254648385872
"Cc72_00013400-RA",-0.795346233641788
"Cc72_00013404-RA",1.61666729475625
"Cc72_00013397-RA",-2.32074680005356
"Cc72_00013399-RA",NA
"Cc72_00013403-RA",1.87000013260318
"Cc72_00013396-RA",-2.97813053097176
"Cc72_00013405-RA",1.12099673894979
"Cc72_00013398-RA",-0.159032688624304
"Cc72_00013413-RA",-0.0781126576423671
"Cc72_00013410-RA",-0.309690227418234
"Cc72_00013416-RA",-0.472133418005743
"Cc72_00013412-RA",-0.297013414129489
"Cc72_00013409-RA",-0.113436825342101
"Cc72_00013408-RA",1.12099673894979
"Cc72_00013414-RA",-1.76882846583649
"Cc72_00013415-RA",-0.589426986191305
"Cc72_00013417-RA",1.12099673894979
"Cc72_00013418-RA",-0.0250529409575752
"Cc72_00013407-RA",NA
"Cc72_00013411-RA",-0.105542440469876
"Cc72_00013422-RA",-1.24496686869201
"Cc72_00013423-RA",0.95034208871497
"Cc72_00013421-RA",0.877508825969838
"Cc72_00013419-RA",-0.030194480404428
"Cc72_00013420-RA",0.416081974099592
"Cc72_00013430-RA",0.339873028511818
"Cc72_00013426-RA",3.8077579996971
"Cc72_00013429-RA",0.151420024524377
"Cc72_00013433-RA",1.76037855247142
"Cc72_00013431-RA",-0.496511835925755
"Cc72_00013428-RA",0.021963150349682
"Cc72_00013432-RA",-1.18290819673123
"Cc72_00013424-RA",0.878986924841204
"Cc72_00013425-RA",3.62338619988529
"Cc72_00013427-RA",-3.33863015624649
"Cc72_00013434-RA",-0.337696141398976
"Cc72_00013435-RA",-4.35719198303446
"Cc72_00013442-RA",-1.82440650828365
"Cc72_00013441-RA",-0.219376417098924
"Cc72_00013439-RA",0.432598292213444
"Cc72_00013443-RA",NA
"Cc72_00013444-RA",NA
"Cc72_00013445-RA",NA
"Cc72_00013436-RA",NA
"Cc72_00013440-RA",-0.0186198953867483
"Cc72_00013438-RA",-0.788515324297918
"Cc72_00013437-RA",-3.84223319029609
"Cc72_00013447-RA",1.12099673894979
"Cc72_00013448-RA",-0.0907463448066243
"Cc72_00013449-RA",-1.58771615672045
"Cc72_00013446-RA",0.442295801137515
"Cc72_00013451-RA",-0.521926792803666
"Cc72_00013452-RA",-0.725350897291258
"Cc72_00013455-RA",NA
"Cc72_00013464-RA",-0.435810448314152
"Cc72_00013461-RA",3.47652068315354
"Cc72_00013462-RA",2.32225968711037
"Cc72_00013459-RA",2.99575737582985
"Cc72_00013453-RA",0.660968067402196
"Cc72_00013463-RA",-0.186527735034299
"Cc72_00013460-RA",0.232091248142641
"Cc72_00013450-RA",NA
"Cc72_00013458-RA",0.495650375766683
"Cc72_00013457-RA",NA
"Cc72_00013456-RA",-0.802556612692703
"Cc72_00013454-RA",NA
"Cc72_00013465-RA",0.359492180159794
"Cc72_00013468-RA",1.09479686731878
"Cc72_00013466-RA",NA
"Cc72_00013467-RA",NA
"Cc72_00013471-RA",NA
"Cc72_00013472-RA",NA
"Cc72_00013469-RA",NA
"Cc72_00013470-RA",NA
"Cc72_00013484-RA",NA
"Cc72_00013473-RA",0.0363531045148083
"Cc72_00013474-RA",NA
"Cc72_00013475-RA",NA
"Cc72_00013476-RA",NA
"Cc72_00013486-RA",1.15500667842177
"Cc72_00013482-RA",0.269583795300605
"Cc72_00013488-RA",-1.54914606568857
"Cc72_00013479-RA",1.1514002867659
"Cc72_00013487-RA",-3.20586242179147
"Cc72_00013481-RA",0.233147518633676
"Cc72_00013483-RA",0.244799958793848
"Cc72_00013478-RA",0.83306868092478
"Cc72_00013480-RA",0.264517835346429
"Cc72_00013477-RA",0.251018069739759
"Cc72_00013485-RA",NA
"Cc72_00013490-RA",NA
"Cc72_00013493-RA",-0.367441347379329
"Cc72_00013489-RA",-1.2110776767078
"Cc72_00013492-RA",-1.91352778192665
"Cc72_00013491-RA",0.326581544281892
"Cc72_00013495-RA",-0.0185749835691717
"Cc72_00013496-RA",NA
"Cc72_00013494-RA",NA
"Cc72_00013505-RA",-2.4696445443061
"Cc72_00013509-RA",-1.09639839833384
"Cc72_00013504-RA",NA
"Cc72_00013498-RA",0.0348501746346725
"Cc72_00013506-RA",0.491975327398546
"Cc72_00013507-RA",0.0700810264181356
"Cc72_00013500-RA",0.389628806199832
"Cc72_00013497-RA",0.591420254922078
"Cc72_00013510-RA",0.130987516066117
"Cc72_00013503-RA",-1.34294637824607
"Cc72_00013499-RA",-0.105959078568237
"Cc72_00013508-RA",-0.361970231494083
"Cc72_00013501-RA",-0.251776996438244
"Cc72_00013502-RA",0.175651308734757
"Cc72_00013511-RA",2.37909349440792
"Cc72_00013512-RA",NA
"Cc72_00013514-RA",-0.772469129876012
"Cc72_00013513-RA",-0.0136880115955007
"Cc72_00013518-RA",-0.744884508208774
"Cc72_00013520-RA",2.08818097999692
"Cc72_00013519-RA",-0.364905882660341
"Cc72_00013517-RA",NA
"Cc72_00013515-RA",NA
"Cc72_00013516-RA",NA
"Cc72_00013529-RA",NA
"Cc72_00013527-RA",-0.30385827811944
"Cc72_00013524-RA",NA
"Cc72_00013523-RA",-2.87411628425588
"Cc72_00013530-RA",-0.210656573694764
"Cc72_00013528-RA",-0.250085669327392
"Cc72_00013521-RA",-0.589816027882315
"Cc72_00013522-RA",NA
"Cc72_00013531-RA",-1.84008208660542
"Cc72_00013525-RA",NA
"Cc72_00013526-RA",NA
"Cc72_00013532-RA",-1.37710932957976
"Cc72_00013536-RA",-2.48265729980976
"Cc72_00013534-RA",-0.0973782503450474
"Cc72_00013535-RA",-0.102573217360341
"Cc72_00013538-RA",0.567624264946114
"Cc72_00013537-RA",NA
"Cc72_00013533-RA",-0.485905058799064
"Cc72_00013540-RA",NA
"Cc72_00013539-RA",NA
"Cc72_00013544-RA",-1.39110956548796
"Cc72_00013546-RA",-0.0258323904086986
"Cc72_00013543-RA",1.39388456551855
"Cc72_00013542-RA",-1.27175064566682
"Cc72_00013545-RA",-0.0964091623730443
"Cc72_00013541-RA",NA
"Cc72_00013549-RA",0.518119437497078
"Cc72_00013547-RA",-0.190719091226008
"Cc72_00013550-RA",-0.937556311205848
"Cc72_00013548-RA",NA
"Cc72_00013555-RA",-0.802556612692703
"Cc72_00013554-RA",-0.899033831797991
"Cc72_00013556-RA",-0.317403266936325
"Cc72_00013552-RA",0.286903711423574
"Cc72_00013553-RA",-0.518657361089957
"Cc72_00013551-RA",-0.220299548496502
"Cc72_00013557-RA",2.98240733731448
"Cc72_00013558-RA",-0.183334685486359
"Cc72_00013561-RA",0.203231125436007
"Cc72_00013560-RA",NA
"Cc72_00013559-RA",-1.80315325367062
"Cc72_00013563-RA",-0.192509055240605
"Cc72_00013562-RA",0.243271685735064
"Cc72_00013564-RA",-6.19196214369539
"Cc72_00013566-RA",-1.45340120441225
"Cc72_00013565-RA",NA
"Cc72_00013569-RA",0.620948806785661
"Cc72_00013568-RA",0.578697350044538
"Cc72_00013567-RA",NA
"Cc72_00013573-RA",-3.12164031065818
"Cc72_00013572-RA",NA
"Cc72_00013570-RA",0.106474243393437
"Cc72_00013574-RA",0.493825522364838
"Cc72_00013575-RA",NA
"Cc72_00013571-RA",-0.42722315804453
"Cc72_00013576-RA",3.20588895379359
"Cc72_00013580-RA",-1.20121051809941
"Cc72_00013581-RA",0.667672156149058
"Cc72_00013577-RA",-0.118576130240886
"Cc72_00013588-RA",NA
"Cc72_00013579-RA",-0.276538583915674
"Cc72_00013582-RA",-0.802556612692703
"Cc72_00013589-RA",0.383433437532541
"Cc72_00013578-RA",-0.944231566673548
"Cc72_00013585-RA",-2.13470725542218
"Cc72_00013587-RA",-4.83412871202216
"Cc72_00013586-RA",-6.60778635983979
"Cc72_00013584-RA",-1.80315325367062
"Cc72_00013583-RA",NA
"Cc72_00013592-RA",-2.27081893496394
"Cc72_00013591-RA",-1.76708387749397
"Cc72_00013590-RA",-1.15454091696654
"Cc72_00013593-RA",-1.58771615672045
"Cc72_00013595-RA",-0.690078375776689
"Cc72_00013594-RA",NA
"Cc72_00013600-RA",-0.710774697827637
"Cc72_00013597-RA",NA
"Cc72_00013598-RA",-1.6476406394583
"Cc72_00013596-RA",0.610174373325665
"Cc72_00013602-RA",-0.397478240600875
"Cc72_00013610-RA",-0.518516475445704
"Cc72_00013615-RA",0.0470738424618
"Cc72_00013604-RA",-0.346383031187824
"Cc72_00013612-RA",-0.267823198587855
"Cc72_00013613-RA",-0.469866175442793
"Cc72_00013605-RA",0.500302755765916
"Cc72_00013616-RA",1.32819378079878
"Cc72_00013614-RA",NA
"Cc72_00013599-RA",-1.58771615672045
"Cc72_00013611-RA",NA
"Cc72_00013601-RA",2.14228823996269
"Cc72_00013606-RA",1.76217145417766
"Cc72_00013607-RA",-0.802556612692703
"Cc72_00013603-RA",1.87000013260318
"Cc72_00013608-RA",NA
"Cc72_00013609-RA",NA
"Cc72_00013621-RA",-5.46880139234098
"Cc72_00013619-RA",0.159224066736155
"Cc72_00013620-RA",0.194498128481614
"Cc72_00013622-RA",3.67533051602229
"Cc72_00013617-RA",-0.19855776162046
"Cc72_00013618-RA",0.823831006068683
"Cc72_00013623-RA",-0.802556612692703
"Cc72_00013630-RA",1.74987908480528
"Cc72_00013631-RA",-0.1564627012461
"Cc72_00013626-RA",NA
"Cc72_00013624-RA",-2.35964420961212
"Cc72_00013625-RA",-2.73577518879832
"Cc72_00013629-RA",-0.788738114265355
"Cc72_00013627-RA",-0.893637710602642
"Cc72_00013628-RA",-0.478844320601768
"Cc72_00013632-RA",0.24737863661988
"Cc72_00013637-RA",NA
"Cc72_00013634-RA",-3.65081756287653
"Cc72_00013635-RA",-3.84837474260283
"Cc72_00013633-RA",0.180225241972954
"Cc72_00013639-RA",0.166508955135465
"Cc72_00013636-RA",NA
"Cc72_00013638-RA",-0.628608608281627
"Cc72_00013642-RA",NA
"Cc72_00013644-RA",NA
"Cc72_00013640-RA",NA
"Cc72_00013643-RA",NA
"Cc72_00013645-RA",NA
"Cc72_00013641-RA",NA
"Cc72_00013646-RA",0.835678737958447
"Cc72_00013649-RA",0.82728888582947
"Cc72_00013652-RA",-2.1860990553732
"Cc72_00013653-RA",-0.861289300755812
"Cc72_00013651-RA",NA
"Cc72_00013647-RA",NA
"Cc72_00013650-RA",0.792721860027764
"Cc72_00013648-RA",0.318413018896954
"Cc72_00013654-RA",NA
"Cc72_00013657-RA",0.504232255766472
"Cc72_00013656-RA",0.0490039572089106
"Cc72_00013659-RA",1.93273406601622
"Cc72_00013655-RA",-3.14062921773898
"Cc72_00013658-RA",-0.144167502009794
"Cc72_00013660-RA",1.10957096729722
"Cc72_00013661-RA",-0.187670070568313
"Cc72_00013668-RA",NA
"Cc72_00013667-RA",NA
"Cc72_00013662-RA",0.769410999095285
"Cc72_00013663-RA",0.829923623783561
"Cc72_00013664-RA",-0.29202162226158
"Cc72_00013665-RA",-3.32678775835483
"Cc72_00013669-RA",NA
"Cc72_00013670-RA",-4.02357427032585
"Cc72_00013666-RA",-0.802556612692703
"Cc72_00013671-RA",NA
"Cc72_00013676-RA",-0.674789556264908
"Cc72_00013673-RA",-2.94919517120744
"Cc72_00013682-RA",NA
"Cc72_00013674-RA",0.793001446210783
"Cc72_00013675-RA",0.612496851042396
"Cc72_00013677-RA",-5.01698525158611
"Cc72_00013679-RA",-2.37130954721601
"Cc72_00013683-RA",-1.33079337857686
"Cc72_00013678-RA",0.393999027889343
"Cc72_00013680-RA",-0.507799431174455
"Cc72_00013681-RA",-1.19542555502996
"Cc72_00013672-RA",NA
"Cc72_00013697-RA",NA
"Cc72_00013693-RA",1.14764788648897
"Cc72_00013689-RA",0.179854569880059
"Cc72_00013701-RA",2.54804025957892
"Cc72_00013696-RA",NA
"Cc72_00013702-RA",NA
"Cc72_00013695-RA",NA
"Cc72_00013694-RA",1.12099673894979
"Cc72_00013700-RA",1.87000013260318
"Cc72_00013699-RA",NA
"Cc72_00013707-RA",NA
"Cc72_00013708-RA",-0.576236975451383
"Cc72_00013704-RA",0.159224066736155
"Cc72_00013713-RA",NA
"Cc72_00013714-RA",NA
"Cc72_00013716-RA",NA
"Cc72_00013718-RA",-1.58771615672045
"Cc72_00013719-RA",-1.76883834101343
"Cc72_00013692-RA",-1.16689964656599
"Cc72_00013690-RA",1.67676541790239
"Cc72_00013722-RA",0.220548323210018
"Cc72_00013709-RA",-3.00415809135069
"Cc72_00013717-RA",NA
"Cc72_00013684-RA",2.94633471347575
"Cc72_00013721-RA",NA
"Cc72_00013703-RA",0.61760682901619
"Cc72_00013720-RA",NA
"Cc72_00013706-RA",1.42261932527931
"Cc72_00013691-RA",-1.80315325367062
"Cc72_00013698-RA",NA
"Cc72_00013712-RA",1.12099673894979
"Cc72_00013723-RA",-0.229096310254536
"Cc72_00013705-RA",NA
"Cc72_00013685-RA",NA
"Cc72_00013687-RA",-2.69874204171437
"Cc72_00013715-RA",0.214739280730395
"Cc72_00013710-RA",NA
"Cc72_00013688-RA",-0.802556612692703
"Cc72_00013686-RA",NA
"Cc72_00013711-RA",NA
"Cc72_00013724-RA",-0.917056856453062
"Cc72_00013729-RA",-0.752231870046757
"Cc72_00013725-RA",1.89161072773266
"Cc72_00013726-RA",-1.00316433856766
"Cc72_00013728-RA",-2.3816777583277
"Cc72_00013727-RA",-0.997278838662435
"Cc72_00013731-RA",-0.802556612692703
"Cc72_00013730-RA",0.90679866278164
"Cc72_00013732-RA",-1.13158741419836
"Cc72_00013733-RA",-0.766363912272196
"Cc72_00013736-RA",0.9720137918894
"Cc72_00013734-RA",NA
"Cc72_00013735-RA",2.54804025957892
"Cc72_00013738-RA",NA
"Cc72_00013737-RA",NA
"Cc72_00013740-RA",0.373720465352069
"Cc72_00013743-RA",NA
"Cc72_00013742-RA",NA
"Cc72_00013741-RA",NA
"Cc72_00013739-RA",0.601383067414923
"Cc72_00013747-RA",0.0186297066141098
"Cc72_00013746-RA",1.12099673894979
"Cc72_00013744-RA",0.467642087127371
"Cc72_00013745-RA",0.26748078890744
"Cc72_00013753-RA",0.625202178219275
"Cc72_00013748-RA",NA
"Cc72_00013749-RA",0.908227127969282
"Cc72_00013752-RA",NA
"Cc72_00013751-RA",0.236046039489761
"Cc72_00013750-RA",NA
"Cc72_00013755-RA",1.17014117170556
"Cc72_00013754-RA",-0.336769115899441
"Cc72_00013758-RA",-0.742883063955483
"Cc72_00013756-RA",NA
"Cc72_00013757-RA",-0.0858602423184191
"Cc72_00013759-RA",-0.696060984434447
"Cc72_00013760-RA",-0.812024033889609
"Cc72_00013765-RA",-0.241317822201686
"Cc72_00013764-RA",NA
