Name,Spearman
Cc72_00056795-RA,
Cc72_00056752-RA,-0.321428571
Cc72_00056749-RA,
Cc72_00056747-RA,
Cc72_00056748-RA,-0.428571429
Cc72_00056751-RA,-0.936974961
Cc72_00056746-RA,
Cc72_00056750-RA,0.40824829
Cc72_00056745-RA,-0.04454354
Cc72_00056763-RA,0.5
Cc72_00056757-RA,0.612372436
Cc72_00056760-RA,0.612372436
Cc72_00056758-RA,
Cc72_00056761-RA,
Cc72_00056759-RA,-0.612372436
Cc72_00056762-RA,-0.612372436
Cc72_00056765-RA,-0.285714286
Cc72_00056766-RA,-0.906326967
Cc72_00056769-RA,-0.906326967
Cc72_00056767-RA,-0.285714286
Cc72_00056768-RA,0.178571429
Cc72_00013106-RA,0.144149994
Cc72_00013112-RA,
Cc72_00013109-RA,-0.668153105
Cc72_00013107-RA,
Cc72_00013113-RA,-0.445435403
Cc72_00013111-RA,0.738768719
Cc72_00013110-RA,-0.778311782
Cc72_00013114-RA,
Cc72_00013108-RA,-0.204124145
Cc72_00013122-RA,0.25
Cc72_00013116-RA,
Cc72_00013115-RA,
Cc72_00013121-RA,0.75
Cc72_00013118-RA,
Cc72_00013117-RA,
Cc72_00013119-RA,
Cc72_00013120-RA,0.03940552
Cc72_00013128-RA,-0.222374795
Cc72_00013131-RA,
Cc72_00013132-RA,0
Cc72_00013126-RA,0.607142857
Cc72_00013123-RA,0.5
Cc72_00013133-RA,0.178571429
Cc72_00013127-RA,0.428571429
Cc72_00013124-RA,-0.75
Cc72_00013125-RA,0.285714286
Cc72_00013129-RA,
Cc72_00013130-RA,
Cc72_00013136-RA,-0.142857143
Cc72_00013139-RA,0.142857143
Cc72_00013134-RA,
Cc72_00013135-RA,-0.035714286
Cc72_00013137-RA,0.668153105
Cc72_00013140-RA,-0.216730362
Cc72_00013138-RA,-0.40824829
Cc72_00013141-RA,0.857142857
Cc72_00013144-RA,0.214285714
Cc72_00013145-RA,-0.571428571
Cc72_00013148-RA,-0.678571429
Cc72_00013146-RA,0.464285714
Cc72_00013142-RA,-0.464285714
Cc72_00013143-RA,-0.821428571
Cc72_00013147-RA,
Cc72_00013152-RA,
Cc72_00013159-RA,-0.785714286
Cc72_00013154-RA,-0.571428571
Cc72_00013156-RA,0.04454354
Cc72_00013151-RA,-0.535714286
Cc72_00013157-RA,-0.285714286
Cc72_00013150-RA,0.821428571
Cc72_00013153-RA,0.678571429
Cc72_00013155-RA,-0.428571429
Cc72_00013149-RA,0.892857143
Cc72_00013158-RA,-0.785714286
Cc72_00013165-RA,0.678571429
Cc72_00013161-RA,-0.785714286
Cc72_00013160-RA,0.714285714
Cc72_00013163-RA,-0.785714286
