Name,granger
Cc72_00013827-RA,0.35282446
Cc72_00013832-RA,0.301060047
Cc72_00013836-RA,0.633351131
Cc72_00013835-RA,0.623816218
Cc72_00013837-RA,0.622146716
Cc72_00013828-RA,0.739781844
Cc72_00013830-RA,0.824815843
Cc72_00013838-RA,0.855706222
Cc72_00013834-RA,0.391257209
Cc72_00013829-RA,0.89940378
Cc72_00013833-RA,0.727853092
Cc72_00013831-RA,0.703381453
Cc72_00013839-RA,0.496230993
Cc72_00013843-RA,0.728160749
Cc72_00013840-RA,0.496928969
Cc72_00013842-RA,0.043362683
Cc72_00013841-RA,0.489872194
Cc72_00013844-RA,0.301060047
Cc72_00013845-RA,0.634026407
Cc72_00013847-RA,0.582933559
Cc72_00013846-RA,0.757187659
Cc72_00013853-RA,0.871824102
Cc72_00013848-RA,0.667943915
Cc72_00013851-RA,0.14186056
Cc72_00013850-RA,0.670922255
Cc72_00013855-RA,0.176796134
Cc72_00013856-RA,0.946988803
Cc72_00013858-RA,0.371815736
Cc72_00013861-RA,0.256601092
Cc72_00013866-RA,0.388437219
Cc72_00013865-RA,0.152925269
Cc72_00013862-RA,0.369659622
Cc72_00013859-RA,0.970257096
Cc72_00013863-RA,0.762721083
Cc72_00013860-RA,0.13035751
Cc72_00013864-RA,0.339926957
Cc72_00013869-RA,0.81388767
Cc72_00013867-RA,0.882009719
Cc72_00013868-RA,0.070778324
Cc72_00013874-RA,0.98642485
Cc72_00013871-RA,0.961415934
Cc72_00013876-RA,0.354618349
Cc72_00013873-RA,0.808142989
Cc72_00013879-RA,0.949503106
Cc72_00013875-RA,0.317220559
Cc72_00013877-RA,0.73182192
Cc72_00013872-RA,0.319564231
Cc72_00013878-RA,0.566980715
Cc72_00013870-RA,0.030586638
Cc72_00013881-RA,0.043158737
Cc72_00013880-RA,0.511161968
Cc72_00013887-RA,0.418523409
Cc72_00013885-RA,0.054839681
Cc72_00013884-RA,0.503155672
Cc72_00013888-RA,0.057875351
Cc72_00013882-RA,0.774212349
Cc72_00013892-RA,0.742648208
Cc72_00013889-RA,0.43517396
Cc72_00013897-RA,0.829580301
Cc72_00013893-RA,0.051884133
Cc72_00013895-RA,0.020450961
Cc72_00013896-RA,0.301060047
Cc72_00013894-RA,0.404360076
Cc72_00013890-RA,0.054839681
Cc72_00013904-RA,0.761779738
Cc72_00013901-RA,0.655678636
Cc72_00013899-RA,0.881554884
Cc72_00013898-RA,0.580466715
Cc72_00013900-RA,0.024801892
Cc72_00013902-RA,0.083577775
Cc72_00013903-RA,0.905451035
Cc72_00013914-RA,0.608653704
Cc72_00013912-RA,0.098511307
Cc72_00013905-RA,0.051871557
Cc72_00013907-RA,0.848540792
Cc72_00013909-RA,0.230175456
Cc72_00013915-RA,0.691259605
Cc72_00013913-RA,0.685508534
Cc72_00013906-RA,0.355783666
Cc72_00013910-RA,0.567975855
Cc72_00013908-RA,0.206367017
Cc72_00013917-RA,0.229162465
Cc72_00013918-RA,0.702122395
Cc72_00013919-RA,0.771774383
Cc72_00013921-RA,0.728160749
Cc72_00013924-RA,0.923249543
Cc72_00013925-RA,0.301060047
Cc72_00013922-RA,0.118646256
Cc72_00013928-RA,0.715341097
Cc72_00013930-RA,0.899529552
Cc72_00013929-RA,0.563965894
Cc72_00013931-RA,0.470235069
Cc72_00013927-RA,0.301060047
Cc72_00013933-RA,0.609249849
Cc72_00013934-RA,0.054839681
Cc72_00013932-RA,0.901835246
Cc72_00013936-RA,0.324156344
Cc72_00013939-RA,0.192299864
Cc72_00013944-RA,0.817688829
Cc72_00013940-RA,0.847669802
Cc72_00013945-RA,0.812117176
Cc72_00013943-RA,0.916751748
Cc72_00013941-RA,0.810500387
Cc72_00013942-RA,0.508728379
Cc72_00013948-RA,0.778253854
Cc72_00013949-RA,0.524661275
Cc72_00013950-RA,0.536278756
Cc72_00013951-RA,0.734749255
Cc72_00013952-RA,0.684709153
Cc72_00013946-RA,0.74291036
Cc72_00013947-RA,0.184849382
Cc72_00013957-RA,0.952534908
Cc72_00013954-RA,0.985906679
Cc72_00013958-RA,0.984785304
Cc72_00013953-RA,0.979762249
Cc72_00013964-RA,0.299904587
Cc72_00013962-RA,0.920034557
Cc72_00013963-RA,0.809602105
Cc72_00013965-RA,0.562336944
Cc72_00013970-RA,0.630249876
Cc72_00013966-RA,0.8906733
Cc72_00013968-RA,0.8906733
Cc72_00013969-RA,0.125771128
Cc72_00013967-RA,0.178929308
Cc72_00013976-RA,0.712335924
Cc72_00013974-RA,0.33020057
Cc72_00013979-RA,0.59642551
Cc72_00013973-RA,0.175302276
Cc72_00013977-RA,0.241546062
Cc72_00013971-RA,0.572344141
Cc72_00013975-RA,0.248172866
Cc72_00013972-RA,0.432578884
Cc72_00013981-RA,0.738941171
Cc72_00013986-RA,0.943953865
Cc72_00013983-RA,0.451587676
Cc72_00013987-RA,0.66636274
Cc72_00013980-RA,0.876542281
Cc72_00013982-RA,0.392076988
Cc72_00013985-RA,0.598683682
Cc72_00013984-RA,0.471843781
Cc72_00013990-RA,0.248746062
Cc72_00013989-RA,0.893105525
Cc72_00013992-RA,0.420646429
Cc72_00013993-RA,0.405357052
Cc72_00013999-RA,0.634245298
Cc72_00013995-RA,0.360062724
Cc72_00014001-RA,0.154061692
Cc72_00014000-RA,0.633672393
Cc72_00013994-RA,0.537360284
Cc72_00014007-RA,0.300336094
Cc72_00014008-RA,0.129847425
Cc72_00014004-RA,0.571588101
Cc72_00014002-RA,0.943552803
Cc72_00014006-RA,0.770154503
Cc72_00014003-RA,0.590891512
Cc72_00014005-RA,0.830281565
Cc72_00014010-RA,0.481395608
Cc72_00014013-RA,0.568331381
Cc72_00014014-RA,0.290899937
Cc72_00014011-RA,0.68958316
Cc72_00014012-RA,0.946988803
Cc72_00014009-RA,0.209012292
Cc72_00014015-RA,0.539548989
Cc72_00014017-RA,0.268053579
Cc72_00014020-RA,0.721869382
Cc72_00014024-RA,0.013246774
Cc72_00014019-RA,0.201826122
Cc72_00014016-RA,0.964779407
Cc72_00014018-RA,0.642439315
Cc72_00014023-RA,0.301060047
Cc72_00014025-RA,0.637602465
Cc72_00014021-RA,0.33409277
Cc72_00014022-RA,0.728160749
Cc72_00014029-RA,0.290410622
Cc72_00014031-RA,0.002232191
Cc72_00014027-RA,0.051985612
Cc72_00014030-RA,0.42061882
Cc72_00014028-RA,0.939357506
Cc72_00014026-RA,0.861534651
Cc72_00014034-RA,0.532854037
