Name,Pearson
Cc72_00013269-RA,-0.830870098
Cc72_00013272-RA,-0.12811318
Cc72_00013274-RA,-0.819391071
Cc72_00013270-RA,-0.746667383
Cc72_00013267-RA,0.414400328
Cc72_00013271-RA,
Cc72_00013275-RA,-0.668978341
Cc72_00013273-RA,-0.776941295
Cc72_00013279-RA,-0.78091897
Cc72_00013277-RA,0.486428652
Cc72_00013283-RA,
Cc72_00013280-RA,-0.32926396
Cc72_00013278-RA,-0.796827098
Cc72_00013282-RA,-0.623384239
Cc72_00013276-RA,-0.778749722
Cc72_00013281-RA,-0.534310247
Cc72_00013285-RA,
Cc72_00013287-RA,0.50340754
Cc72_00013286-RA,-0.686908669
Cc72_00013284-RA,0.484231861
Cc72_00013288-RA,0.348499266
Cc72_00013296-RA,-0.533126214
Cc72_00013291-RA,-0.882821982
Cc72_00013290-RA,-0.876716883
Cc72_00013289-RA,-0.661292243
Cc72_00013292-RA,-0.181672522
Cc72_00013294-RA,-0.258748936
Cc72_00013295-RA,-0.146356565
Cc72_00013293-RA,-0.188639695
Cc72_00013301-RA,-0.617343812
Cc72_00013302-RA,-0.664222101
Cc72_00013307-RA,0.750322253
Cc72_00013298-RA,-0.319557313
Cc72_00013306-RA,-0.646584767
Cc72_00013303-RA,-0.21902073
Cc72_00013308-RA,-0.483723258
Cc72_00013299-RA,-0.921204624
Cc72_00013297-RA,-0.191466414
Cc72_00013305-RA,-0.328518893
Cc72_00013304-RA,-0.205447037
Cc72_00013300-RA,-0.479388299
Cc72_00013315-RA,-0.319557313
Cc72_00013314-RA,-0.036280513
Cc72_00013309-RA,-0.400057158
Cc72_00013310-RA,-0.88992115
Cc72_00013311-RA,-0.582435532
Cc72_00013312-RA,-0.709143714
Cc72_00013313-RA,0.134965632
Cc72_00013316-RA,-0.31910019
Cc72_00013319-RA,0.508142081
Cc72_00013317-RA,-0.331261643
Cc72_00013320-RA,0.690032474
Cc72_00013318-RA,-0.711220107
Cc72_00013322-RA,
Cc72_00013325-RA,
Cc72_00013324-RA,0.512895708
Cc72_00013321-RA,-0.920572253
Cc72_00013323-RA,0.971254532
Cc72_00013327-RA,
Cc72_00013326-RA,0.454926641
Cc72_00013343-RA,-0.870944745
Cc72_00013342-RA,-0.094280257
Cc72_00013330-RA,0.538577102
Cc72_00013331-RA,
Cc72_00013344-RA,-0.065935839
Cc72_00013346-RA,-0.546274821
Cc72_00013338-RA,0.179275532
Cc72_00013334-RA,-0.533264642
Cc72_00013332-RA,0.207071794
Cc72_00013329-RA,
Cc72_00013328-RA,0.555236676
Cc72_00013340-RA,-0.341587399
Cc72_00013333-RA,0.301386176
Cc72_00013345-RA,
Cc72_00013341-RA,-0.860316536
Cc72_00013347-RA,0.554766562
Cc72_00013337-RA,
Cc72_00013339-RA,0.374454312
Cc72_00013336-RA,0.468294591
Cc72_00013335-RA,0.630280793
Cc72_00013355-RA,-0.378827535
Cc72_00013351-RA,0.132273943
Cc72_00013353-RA,-0.34412157
Cc72_00013349-RA,-0.795407304
Cc72_00013350-RA,-0.626261387
Cc72_00013348-RA,-0.531597325
Cc72_00013356-RA,0.546453057
Cc72_00013354-RA,-0.645679342
Cc72_00013352-RA,0.625541892
Cc72_00013363-RA,-0.446337016
Cc72_00013360-RA,0.730129708
Cc72_00013361-RA,0.012936841
