Name,log2FoldChange
Cc72_00013267-RA,-0.035589325
Cc72_00013271-RA,NA
Cc72_00013275-RA,-0.401424726
Cc72_00013273-RA,-0.583360872
Cc72_00013279-RA,-0.83219425
Cc72_00013277-RA,-0.052433082
Cc72_00013283-RA,NA
Cc72_00013280-RA,-0.452968332
Cc72_00013278-RA,-0.488833396
Cc72_00013282-RA,NA
Cc72_00013276-RA,-0.42775236
Cc72_00013281-RA,-0.222168227
Cc72_00013285-RA,NA
Cc72_00013287-RA,0.218827024
Cc72_00013286-RA,-2.255038227
Cc72_00013284-RA,NA
Cc72_00013288-RA,0.599732462
Cc72_00013296-RA,NA
Cc72_00013291-RA,-3.645463671
Cc72_00013290-RA,-1.148799139
Cc72_00013289-RA,1.187985927
Cc72_00013292-RA,0.066771037
Cc72_00013294-RA,-0.235903401
Cc72_00013295-RA,-0.151936818
Cc72_00013293-RA,0.446851476
Cc72_00013301-RA,NA
Cc72_00013302-RA,-2.482290971
Cc72_00013307-RA,-0.428643986
Cc72_00013298-RA,NA
Cc72_00013306-RA,-0.390821801
Cc72_00013303-RA,-0.265878957
Cc72_00013308-RA,NA
Cc72_00013299-RA,-1.760212947
Cc72_00013297-RA,NA
Cc72_00013305-RA,-0.163659716
Cc72_00013304-RA,-0.178218077
Cc72_00013300-RA,0.048022376
Cc72_00013315-RA,NA
Cc72_00013314-RA,-0.470335008
Cc72_00013309-RA,NA
Cc72_00013310-RA,-0.625591204
Cc72_00013311-RA,-0.367154479
Cc72_00013312-RA,NA
Cc72_00013313-RA,0.006684481
Cc72_00013316-RA,-2.245954667
Cc72_00013319-RA,0.032925694
Cc72_00013317-RA,-2.357124763
Cc72_00013320-RA,0.05676858
Cc72_00013318-RA,-0.896214872
Cc72_00013322-RA,NA
Cc72_00013325-RA,NA
Cc72_00013324-RA,NA
Cc72_00013321-RA,-0.240255063
Cc72_00013323-RA,NA
Cc72_00013327-RA,NA
Cc72_00013326-RA,NA
Cc72_00013343-RA,-0.355982482
Cc72_00013342-RA,-0.034909869
Cc72_00013330-RA,NA
Cc72_00013331-RA,NA
